legal_name,place_kind,place_name,organisation_kind,organisation_name,position_title
Khaya Magaxa,Province,Western Cape,Western Cape Provincial Committee,Standing Committee on Community Safety,Committee Member
Khaya Magaxa,Province,Western Cape,Western Cape Provincial Committee,Standing Committee on Human Settlement,Committee Member
Khaya Magaxa,Province,Western Cape,Western Cape Provincial Legislature Committee,Cultural Affairs and Sport,Alternate Member
Khumalo Sakhiwe,,,Political Party,ANC,Party Member
Khumalo Sakhiwe,Province,Guateng,Provincial Legislature,Guateng Provincial Legislature,Provincial Legislature Member
Koliswa Fihlani,Province,Eastern Cape,Political Party,ANC,Party Member
Koliswa Fihlani,Province,Eastern Cape,Provincial Legislature,Eastern Cape Provincial Legislature,Member
Koorts Hermene,,,Political Party,COPE,Party Member
Koorts Hermene,Province,Guateng,Provincial Legislature,Guateng Provincial Legislature,Provincial Legislature Member
LEROI MAHLAKENG,,,Political Party,ANC,Party Member
LEROI MAHLAKENG,Province,North West,Provincial Legislature,North West Provincial Legislature,"Chair of the Human Settlement, Public Safety and Liason Committee"
LEROI MAHLAKENG,Province,North West,Provincial Legislature,North West Provincial Legislature,Member of the Provincial Legislature
LOUISA LORATO MABE,,,Political Party,ANC,Party Member
LOUISA LORATO MABE,Province,North West,Provincial Legislature,North West Provincial Legislature,Chair of the Finance and Provincial Affairs Select Committee
LOUISA LORATO MABE,Province,North West,Provincial Legislature,North West Provincial Legislature,Member of the Provincial Legislature
Lala,,,Political Party,COPE,Party Member
Lala,Province,Free State,Provincial Legislature,Free State Provincial Legislature,Member of the Provincial Legislature
Lasindwa Lindiwe,,,Political Party,ANC,Party Member
Lasindwa Lindiwe,Province,Guateng,Provincial Legislature,Guateng Provincial Legislature,Provincial Legislature Member
Lebo More,,,Political Party,DA,Party Member
Lebo More,Province,Guateng,Provincial Legislature,Guateng Provincial Legislature,Provincial Legislature Member
Les Labuschagne,,,Political Party,DA,Party Member
Les Labuschagne,Province,Guateng,Provincial Legislature,Guateng Provincial Legislature,Provincial Legislature Member
Letwaba Refiloe,,,Political Party,ANC,Party Member
Letwaba Refiloe,Province,Guateng,Provincial Legislature,Guateng Provincial Legislature,Provincial Legislature Member
Lynne Brown,,,Political Party,ANC,Party Member
Lynne Brown,Province,Western Cape,Provincial Legislature,Western Cape Provincial Legislature,Member of the Provincial Legislature
Lynne Brown,Province,Western Cape,Western Cape Provincial Committee,Budget Committee,Committee Member
Lynne Brown,Province,Western Cape,Western Cape Provincial Committee,Disabled and Youth Committee,Committee Member
Lynne Brown,Province,Western Cape,Western Cape Provincial Committee,Gender Committee,Committee Member
Lynne Brown,Province,Western Cape,Western Cape Provincial Committee,Standing Committee on Premier,Committee Member
M Hleko,,,Political Party,COPE,Party Member
M Hleko,Province,Free State,Provincial Legislature,Free State Provincial Legislature,Member of the Provincial Legislature
M Scheepers,Province,Free State,Provincial Legislature,Free State Provincial Legislature,"Chair of the  Police, Road & Transport Committee"
M Scheepers,Province,Free State,Provincial Legislature,Free State Provincial Legislature,Member of the Provincial Legislature
M Thoabala,Province,Free State,Provincial Legislature,Free State Provincial Legislature,Chair of the Public Works Committee
M Thoabala,Province,Free State,Provincial Legislature,Free State Provincial Legislature,Member of the Provincial Legislature
M.B Sesele,Province,Free State,Provincial Legislature,Free State Provincial Legislature,Member of the Provincial Legislature
M.B Sesele,Province,Free State,Provincial Legislature,Free State Provincial Legislature,Speaker
MANKETSE TLHAPE,,,Political Party,ANC,Party Member
MANKETSE TLHAPE,Province,North West,Provincial Legislature,North West Provincial Legislature,Member of the Executive Committee: Local Government and Traditional Affairs
MANKETSE TLHAPE,Province,North West,Provincial Legislature,North West Provincial Legislature,Member of the Provincial Legislature
MB Sesele,Province,Free State,Provincial Legislature,Free State Provincial Legislature,Member of the Provincial Legislature
MOHLOPHI MAPULANE,,,Political Party,ANC,Party Member
MOHLOPHI MAPULANE,Province,North West,Provincial Legislature,North West Provincial Legislature,Deputy Speaker
MOHLOPHI MAPULANE,Province,North West,Provincial Legislature,North West Provincial Legislature,Member of the Provincial Legislature
MOSETSANAGAPE MOKOMELE-MOTHIBI,,,Political Party,ANC,Party Member
MOSETSANAGAPE MOKOMELE-MOTHIBI,Province,North West,Provincial Legislature,North West Provincial Legislature,"Chair of the Economic Development, Conservation, Environment and Tourism Executive Committee"
MOSETSANAGAPE MOKOMELE-MOTHIBI,Province,North West,Provincial Legislature,North West Provincial Legislature,Member of the Provincial Legislature
MOTLALEPULA ROSHO,,,Political Party,ANC,Party Member
MOTLALEPULA ROSHO,Province,North West,Provincial Legislature,North West Provincial Legislature,"Member of the Executive Committee: Economic Development, Conservation, Environment and Tourism"
MOTLALEPULA ROSHO,Province,North West,Provincial Legislature,North West Provincial Legislature,Member of the Provincial Legislature
Madlala Michael,,,Political Party,ANC,Party Member
Madlala Michael,Province,Guateng,Provincial Legislature,Guateng Provincial Legislature,Provincial Legislature Member
Madlenkosi Galo,Province,Eastern Cape,Political Party,AIC,Party Member
Madlenkosi Galo,Province,Eastern Cape,Provincial Legislature,Eastern Cape Provincial Legislature,Member
Magerman Errol,,,Political Party,ANC,Party Member
Magerman Errol,Province,Guateng,Provincial Legislature,Guateng Provincial Legislature,Provincial Legislature Member
Mahlangu Qedani,,,Political Party,ANC,Party Member
Mahlangu Qedani,Province,Guateng,Provincial Legislature,Guateng Provincial Legislature,Provincial Legislature Member
Maile Lebogang,,,Political Party,ANC,Party Member
Maile Lebogang,Province,Guateng,Provincial Legislature,Guateng Provincial Legislature,Provincial Legislature Member
Makama Sipho,,,Political Party,ANC,Party Member
Makama Sipho,Province,Guateng,Provincial Legislature,Guateng Provincial Legislature,Provincial Legislature Member
Mandla Makupula,Province,Eastern Cape,Political Party,ANC,Party Member
Mandla Makupula,Province,Eastern Cape,Provincial Legislature,Eastern Cape Provincial Legislature,Member
Mark Wiley,,,Political Party,DA,Party Member
Mark Wiley,Province,Western Cape,Provincial Legislature,Western Cape Provincial Legislature,Member of the Provincial Legislature
Mark Wiley,Province,Western Cape,Western Cape Provincial Committee,Budget Committee,Committee Member
Mark Wiley,Province,Western Cape,Western Cape Provincial Committee,Chairpersons’ Forum,Committee Member
Mark Wiley,Province,Western Cape,Western Cape Provincial Committee,Cultural Affairs and Sport,Committee Member
Mark Wiley,Province,Western Cape,Western Cape Provincial Committee,Gender Committee,Committee Member
Mark Wiley,Province,Western Cape,Western Cape Provincial Committee,Public Accounts Committee,Committee Member
Mark Wiley,Province,Western Cape,Western Cape Provincial Committee,Standing Committee on Community Safety,Committee Member
Mark Wiley,Province,Western Cape,Western Cape Provincial Committee,Standing Committee on Education,Committee Member
Mark Wiley,Province,Western Cape,Western Cape Provincial Committee,Standing Committee on Premier,Committee Member
Mark Wiley,Province,Western Cape,Western Cape Provincial Legislature Committee,Disabled and Youth Committee,Alternate Member
Mark Wiley,Province,Western Cape,Western Cape Provincial Legislature Committee,Petitions Committee,Alternate Member
Mark Wiley,Province,Western Cape,Western Cape Provincial Legislature Committee,Rules Committee,Alternate Member
Mark Wiley,Province,Western Cape,Western Cape Provincial Legislature Committee,Standing Committee on Community Safety,Alternate Member
Maseko Lindiwe,,,Political Party,ANC,Party Member
Maseko Lindiwe,Province,Guateng,Provincial Legislature,Guateng Provincial Legislature,Provincial Legislature Member
Masiza Max Mhlati,Province,Eastern Cape,Political Party,UDM,Party Member
Masiza Max Mhlati,Province,Eastern Cape,Provincial Legislature,Eastern Cape Provincial Legislature,Member
Matlou Moeng,,,Political Party,ANC,Party Member
Matlou Moeng,Province,Guateng,Provincial Legislature,Guateng Provincial Legislature,Provincial Legislature Member
Max Ozinsky,,,Political Party,ANC,Party Member
Max Ozinsky,Province,Western Cape,Provincial Legislature,Western Cape Provincial Legislature,Member of the Provincial Legislature
Max Ozinsky,Province,Western Cape,Western Cape Provincial Committee,Public Accounts Committee,Committee Member
Max Ozinsky,Province,Western Cape,Western Cape Provincial Legislature Committee,Standing Committee on Agriculture and environmental Planning,Alternate Member
Mayathula-Khoza Nandi,,,Political Party,ANC,Party Member
Mayathula-Khoza Nandi,Province,Guateng,Provincial Legislature,Guateng Provincial Legislature,Provincial Legislature Member
Mayekiso Moses,,,Political Party,COPE,Party Member
Mayekiso Moses,Province,Guateng,Provincial Legislature,Guateng Provincial Legislature,Provincial Legislature Member
Mazibuko Faith,,,Political Party,ANC,Party Member
Mazibuko Faith,Province,Guateng,Provincial Legislature,Guateng Provincial Legislature,Provincial Legislature Member
Mbatha Valentine,,,Political Party,ANC,Party Member
Mbatha Valentine,Province,Guateng,Provincial Legislature,Guateng Provincial Legislature,Provincial Legislature Member
Mbongeni Radebe,,,Political Party,ANC,Party Member
Mbongeni Radebe,Province,Guateng,Provincial Legislature,Guateng Provincial Legislature,Provincial Legislature Member
Mbulelo Ncedana,,,Political Party,COPE,Party Member
Mbulelo Ncedana,Province,Western Cape,Provincial Legislature,Western Cape Provincial Legislature,Member of the Provincial Legislature
Mbulelo Ncedana,Province,Western Cape,Western Cape Provincial Committee,Budget Committee,Committee Member
Mbulelo Ncedana,Province,Western Cape,Western Cape Provincial Committee,Rules Committee,Committee Member
Mbulelo Ncedana,Province,Western Cape,Western Cape Provincial Committee,Standing Committee on Cultural Affairs and Sport,Committee Member
Mbulelo Ncedana,Province,Western Cape,Western Cape Provincial Committee,Standing Committee on Human Settlement,Committee Member
Mbulelo Ncedana,Province,Western Cape,Western Cape Provincial Committee,Standing Committee on Local Government Oversight,Committee Member
Mbulelo Ncedana,Province,Western Cape,Western Cape Provincial Committee,Standing Committee on Local Government,Committee Member
Mbulelo Ncedana,Province,Western Cape,Western Cape Provincial Legislature Committee,Conduct Committee,Alternate Member
Mbulelo Ncedana,Province,Western Cape,Western Cape Provincial Legislature Committee,Standing Committee on Finance and Economic Development,Alternate Member
Mbulelo Ntenjwa,Province,Eastern Cape,Political Party,COPE,Party Member
Mbulelo Ntenjwa,Province,Eastern Cape,Provincial Legislature,Eastern Cape Provincial Legislature,Member
Mcebisi Jonas,Province,Eastern Cape,Political Party,ANC,Party Member
Mcebisi Jonas,Province,Eastern Cape,Provincial Legislature,Eastern Cape Provincial Legislature,Member
Mcebisi Skwatsha,,,Political Party,ANC,Party Member
Mcebisi Skwatsha,Province,Western Cape,Provincial Legislature,Western Cape Provincial Legislature,Member of the Provincial Legislature
Mcebisi Skwatsha,Province,Western Cape,Western Cape Provincial Committee,Standing Committee on Health,Committee Member
Mcebisi Skwatsha,Province,Western Cape,Western Cape Provincial Legislature Committee,Conduct Committee,Alternate Member
Mcebisi Skwatsha,Province,Western Cape,Western Cape Provincial Legislature Committee,Standing Committee on Human Settlement,Alternate Member
Mcebisi Skwatsha,Province,Western Cape,Western Cape Provincial Legislature Committee,Standing Committee on Local Government,Alternate Member
Mekgwe Ntombi,,,Political Party,ANC,Party Member
Mekgwe Ntombi,Province,Guateng,Provincial Legislature,Guateng Provincial Legislature,Provincial Legislature Member
Meshoe Lefokane,,,Political Party,ACDP,Party Member
Meshoe Lefokane,Province,Guateng,Provincial Legislature,Guateng Provincial Legislature,Provincial Legislature Member
Mgcina Alfred,,,Political Party,ANC,Party Member
Mgcina Alfred,Province,Guateng,Provincial Legislature,Guateng Provincial Legislature,Provincial Legislature Member
Michael Peter,Province,Eastern Cape,Political Party,ANC,Party Member
Michael Peter,Province,Eastern Cape,Provincial Legislature,Eastern Cape Provincial Legislature,Member
Michael Walters,,,Political Party,DA,Party Member
Michael Walters,Province,Western Cape,Provincial Legislature,Western Cape Provincial Legislature,Member of the Provincial Legislature
Michael Walters,Province,Western Cape,Western Cape Provincial Committee,Budget Committee,Committee Member
Michael Walters,Province,Western Cape,Western Cape Provincial Committee,Chairpersons’ Forum,Committee Member
Michael Walters,Province,Western Cape,Western Cape Provincial Committee,Standing Committee on Agriculture and environmental Planning,Committee Member
Michael Walters,Province,Western Cape,Western Cape Provincial Committee,Standing Committee on Finance and Economic Development,Committee Member
Michael Walters,Province,Western Cape,Western Cape Provincial Committee,Standing Committee on Local Government Oversight,Committee Member
Michael Walters,Province,Western Cape,Western Cape Provincial Committee,Standing Committee on Local Government,Committee Member
Michael Walters,Province,Western Cape,Western Cape Provincial Committee,and Public Works,Committee Member
Michael Walters,Province,Western Cape,Western Cape Provincial Legislature Committee,Public Accounts Committee,Alternate Member
Michael Walters,Province,Western Cape,Western Cape Provincial Legislature Committee,Standing Committee on Human Settlement,Alternate Member
Mike Moriarty,,,Political Party,DA,Party Member
Mike Moriarty,Province,Guateng,Provincial Legislature,Guateng Provincial Legislature,Provincial Legislature Member
Millicent Tingwe,,,Political Party,ANC,Party Member
Millicent Tingwe,,,Political Party,ANC,Whip
Millicent Tingwe,Province,Western Cape,Provincial Legislature,Western Cape Provincial Legislature,Member of the Provincial Legislature
Millicent Tingwe,Province,Western Cape,Western Cape Provincial Committee,Rules Committee,Committee Member
Millicent Tingwe,Province,Western Cape,Western Cape Provincial Committee,Standing Committee on Education,Committee Member
Millicent Tingwe,Province,Western Cape,Western Cape Provincial Legislature Committee,Public Accounts Committee,Alternate Member
Mlibo Qoboshiyane,Province,Eastern Cape,Political Party,ANC,Party Member
Mlibo Qoboshiyane,Province,Eastern Cape,Provincial Legislature,Eastern Cape Provincial Legislature,Member
Mninawa Nyusile,Province,Eastern Cape,Political Party,ANC,Party Member
Mninawa Nyusile,Province,Eastern Cape,Provincial Legislature,Eastern Cape Provincial Legislature,Member
Moerane Neliswe,,,Political Party,ANC,Party Member
Moerane Neliswe,Province,Guateng,Provincial Legislature,Guateng Provincial Legislature,Provincial Legislature Member
Mofokeng Jacueline,,,Political Party,ANC,Party Member
Mofokeng Jacueline,Province,Guateng,Provincial Legislature,Guateng Provincial Legislature,Provincial Legislature Member
Mogale Refiloe,,,Political Party,ANC,Party Member
Mogale Refiloe,Province,Guateng,Provincial Legislature,Guateng Provincial Legislature,Provincial Legislature Member
Moiloa Uhuru,,,Political Party,ANC,Party Member
Moiloa Uhuru,Province,Guateng,Provincial Legislature,Guateng Provincial Legislature,Provincial Legislature Member
Mokonyane Nomvula,,,Political Party,ANC,Party Member
Mokonyane Nomvula,Province,Guateng,Provincial Legislature,Guateng Provincial Legislature,Provincial Legislature Member
Mr Abrie Johannes Jacobus,,,Party Member,COPE,Party Member
Mr Abrie Johannes Jacobus,Province,Limpopo,Provincial Legislature,Limpopo Provincial Legislature,Member of the Provincial Legislature
Mr Kgatjepe Maaria Ishmael,,,Party Member,ANC,Party Member
Mr Kgatjepe Maaria Ishmael,Province,Limpopo,Provincial Legislature,Limpopo Provincial Legislature,Member of the Executive Committee: CoGsta
Mr Kgatjepe Maaria Ishmael,Province,Limpopo,Provincial Legislature,Limpopo Provincial Legislature,Member of the Provincial Legislature
Mr Maake Emmanuel Sello,,,Party Member,ANC,Party Member
Mr Maake Emmanuel Sello,Province,Limpopo,Provincial Legislature,Limpopo Provincial Legislature,Chairperson of Committees
Mr Maake Emmanuel Sello,Province,Limpopo,Provincial Legislature,Limpopo Provincial Legislature,Member of the Provincial Legislature
Mr Maphoto Lesibe Isaac,,,Party Member,ANC,Party Member
Mr Maphoto Lesibe Isaac,Province,Limpopo,Provincial Legislature,Limpopo Provincial Legislature,MPL
Mr Maphoto Lesibe Isaac,Province,Limpopo,Provincial Legislature,Limpopo Provincial Legislature,Member of the Provincial Legislature
Mr Marule Otto Jacob,,,Party Member,ANC,Party Member
Mr Marule Otto Jacob,Province,Limpopo,Provincial Legislature,Limpopo Provincial Legislature,Member of the Provincial Legislature
Mr Masemola Namane Dickson,,,Party Member,ANC,Party Member
Mr Masemola Namane Dickson,Province,Limpopo,Provincial Legislature,Limpopo Provincial Legislature,Member of the Executive Committee: Public Works
Mr Masemola Namane Dickson,Province,Limpopo,Provincial Legislature,Limpopo Provincial Legislature,Member of the Provincial Legislature
Mr Mashamba Tintswalo Godwin George,,,Party Member,ANC,Party Member
Mr Mashamba Tintswalo Godwin George,Province,Limpopo,Provincial Legislature,Limpopo Provincial Legislature,Chairperson: Agriculture Executive Committee
Mr Mashamba Tintswalo Godwin George,Province,Limpopo,Provincial Legislature,Limpopo Provincial Legislature,Member of the Provincial Legislature
Mr Masoga Matjie Lehlogonolo Alfred,,,Party Member,ANC,Party Member
Mr Masoga Matjie Lehlogonolo Alfred,Province,Limpopo,Provincial Legislature,Limpopo Provincial Legislature,Member of the Executive Committee: Transport
Mr Masoga Matjie Lehlogonolo Alfred,Province,Limpopo,Provincial Legislature,Limpopo Provincial Legislature,Member of the Provincial Legislature
Mr Masondo David,,,Party Member,ANC,Party Member
Mr Masondo David,Province,Limpopo,Provincial Legislature,Limpopo Provincial Legislature,Member of the Provincial Legislature
Mr Mathabatha Stanley Chupu,,,Party Member,ANC,Party Member
Mr Mathabatha Stanley Chupu,Province,Limpopo,Provincial Legislature,Limpopo Provincial Legislature,Member of the Provincial Legislature
Mr Mathabatha Stanley Chupu,Province,Limpopo,Provincial Legislature,Limpopo Provincial Legislature,Premier
Mr Matlala Jack Lesiba,,,Party Member,ANC,Party Member
Mr Matlala Jack Lesiba,Province,Limpopo,Provincial Legislature,Limpopo Provincial Legislature,Member of the Provincial Legislature
Mr Midiavhathu Prince Kennedy Tshivhase ,,,Party Member,ANC,Party Member
Mr Midiavhathu Prince Kennedy Tshivhase ,Province,Limpopo,Provincial Legislature,Limpopo Provincial Legislature,Member of the Provincial Legislature
Mr Moloto P.Pitsi,,,Party Member,ANC,Party Member
Mr Moloto P.Pitsi,Province,Limpopo,Provincial Legislature,Limpopo Provincial Legislature,Member of the Provincial Legislature
Mr Mothupi Mothebe Richard,,,Party Member,ANC,Party Member
Mr Mothupi Mothebe Richard,Province,Limpopo,Provincial Legislature,Limpopo Provincial Legislature,MPL
Mr Mothupi Mothebe Richard,Province,Limpopo,Provincial Legislature,Limpopo Provincial Legislature,Member of the Provincial Legislature
Mr Motsepe Nkomotana Clifford,,,Party Member,ANC,Party Member
Mr Motsepe Nkomotana Clifford,Province,Limpopo,Provincial Legislature,Limpopo Provincial Legislature,Member of the Provincial Legislature
Mr Nemadzivhanani Maxwell Humbelani,,,Party Member,ANC,Party Member
Mr Nemadzivhanani Maxwell Humbelani,Province,Limpopo,Provincial Legislature,Limpopo Provincial Legislature,Chairperson: Public works Executive Committee
Mr Nemadzivhanani Maxwell Humbelani,Province,Limpopo,Provincial Legislature,Limpopo Provincial Legislature,Member of the Provincial Legislature
Mr Ngobeni Dengeza Derrick,,,Party Member,ANC,Party Member
Mr Ngobeni Dengeza Derrick,Province,Limpopo,Provincial Legislature,Limpopo Provincial Legislature,Chairperson: Public Accounts Executive Committee
Mr Ngobeni Dengeza Derrick,Province,Limpopo,Provincial Legislature,Limpopo Provincial Legislature,Member of the Provincial Legislature
Mr Nong Kwena Elias,,,Party Member,ANC,Party Member
Mr Nong Kwena Elias,Province,Limpopo,Provincial Legislature,Limpopo Provincial Legislature,Member of the Provincial Legislature
Mr Nong Kwena Elias,Province,Limpopo,Provincial Legislature,Limpopo Provincial Legislature,Speaker
Mr Phala Kgolane Alfred,,,Party Member,ANC,Party Member
Mr Phala Kgolane Alfred,Province,Limpopo,Provincial Legislature,Limpopo Provincial Legislature,Member of the Executive Committee: Treasury
Mr Phala Kgolane Alfred,Province,Limpopo,Provincial Legislature,Limpopo Provincial Legislature,Member of the Provincial Legislature
Mr Ratshitanga Rashaka Frank,,,Party Member,ANC,Party Member
Mr Ratshitanga Rashaka Frank,Province,Limpopo,Provincial Legislature,Limpopo Provincial Legislature,Chairperson: PPP Committee
Mr Ratshitanga Rashaka Frank,Province,Limpopo,Provincial Legislature,Limpopo Provincial Legislature,Member of the Provincial Legislature
Mr Sekoati Charles Seaparo ,,,Party Member,ANC,Party Member
Mr Sekoati Charles Seaparo ,Province,Limpopo,Provincial Legislature,Limpopo Provincial Legislature,Member of the Executive Committee: Economic Development
Mr Sekoati Charles Seaparo ,Province,Limpopo,Provincial Legislature,Limpopo Provincial Legislature,Member of the Provincial Legislature
Mr Sikhutshi Patrick,,,Party Member,COPE,Party Member
Mr Sikhutshi Patrick,Province,Limpopo,Provincial Legislature,Limpopo Provincial Legislature,Member of the Provincial Legislature
Mr Tsiane Kgodumo Jan,,,Party Member,ANC,Party Member
Mr Tsiane Kgodumo Jan,Province,Limpopo,Provincial Legislature,Limpopo Provincial Legislature,Chief whip
Mr Tsiane Kgodumo Jan,Province,Limpopo,Provincial Legislature,Limpopo Provincial Legislature,Member of the Provincial Legislature
Ms Desiree van der Walt,,,Party Member,DA,Party Member
Ms Desiree van der Walt,Province,Limpopo,Provincial Legislature,Limpopo Provincial Legislature,Member of the Provincial Legislature
Ms Kekana P.Sharon,,,Party Member,ANC,Party Member
Ms Kekana P.Sharon,Province,Limpopo,Provincial Legislature,Limpopo Provincial Legislature,Member of the Provincial Legislature
Ms Kennedy Meisie,,,Party Member,DA,Party Member
Ms Kennedy Meisie,Province,Limpopo,Provincial Legislature,Limpopo Provincial Legislature,Member of the Provincial Legislature
Ms Kgalamadi Mamoyagale Getrude,,,Party Member,ANC,Party Member
Ms Kgalamadi Mamoyagale Getrude,Province,Limpopo,Provincial Legislature,Limpopo Provincial Legislature,Member of the Provincial Legislature
Ms Letsatsi-Duba D.B,,,Party Member,ANC,Party Member
Ms Letsatsi-Duba D.B,Province,Limpopo,Provincial Legislature,Limpopo Provincial Legislature,Member of the Executive Committee: Health & Social
Ms Letsatsi-Duba D.B,Province,Limpopo,Provincial Legislature,Limpopo Provincial Legislature,Member of the Provincial Legislature
Ms Lubengo Lourane Marubini,,,Party Member,ANC,Party Member
Ms Lubengo Lourane Marubini,Province,Limpopo,Provincial Legislature,Limpopo Provincial Legislature,Member of the Provincial Legislature
Ms Lubengo Lourane Marubini,Province,Limpopo,Provincial Legislature,Limpopo Provincial Legislature,Whip - Parliamentary Affairs
Ms Mahlo Nhlagonwe Patricia,,,Party Member,ANC,Party Member
Ms Mahlo Nhlagonwe Patricia,Province,Limpopo,Provincial Legislature,Limpopo Provincial Legislature,Member of the Provincial Legislature
Ms Mahlo Nhlagonwe Patricia,Province,Limpopo,Provincial Legislature,Limpopo Provincial Legislature,Whip - Constituencies
Ms Makwena Lydia Ngwenya,,,Party Member,ANC,Party Member
Ms Makwena Lydia Ngwenya,Province,Limpopo,Provincial Legislature,Limpopo Provincial Legislature,Deputy Chief Whip
Ms Makwena Lydia Ngwenya,Province,Limpopo,Provincial Legislature,Limpopo Provincial Legislature,Member of the Provincial Legislature
Ms Maluleke Boitumelo Joyce,,,Party Member,ANC,Party Member
Ms Maluleke Boitumelo Joyce,Province,Limpopo,Provincial Legislature,Limpopo Provincial Legislature,Chairperson: Education Committee
Ms Maluleke Boitumelo Joyce,Province,Limpopo,Provincial Legislature,Limpopo Provincial Legislature,Member of the Provincial Legislature
Ms Marutha Maite Rebecca,,,Party Member,ANC,Party Member
Ms Marutha Maite Rebecca,Province,Limpopo,Provincial Legislature,Limpopo Provincial Legislature,Chairperson: Quality of Life Executive Committee
Ms Marutha Maite Rebecca,Province,Limpopo,Provincial Legislature,Limpopo Provincial Legislature,Member of the Provincial Legislature
Ms Mashamba Happy Joyce,,,Party Member,ANC,Party Member
Ms Mashamba Happy Joyce,Province,Limpopo,Provincial Legislature,Limpopo Provincial Legislature,"Member of the Executive Committee: Safety, Security & Liaison"
Ms Mashamba Happy Joyce,Province,Limpopo,Provincial Legislature,Limpopo Provincial Legislature,Member of the Provincial Legislature
Ms Matshoge Bertha Amanda Joyce,,,Party Member,ANC,Party Member
Ms Matshoge Bertha Amanda Joyce,Province,Limpopo,Provincial Legislature,Limpopo Provincial Legislature,Chairperson: Programming and Disciplinary Executive Committee
Ms Matshoge Bertha Amanda Joyce,Province,Limpopo,Provincial Legislature,Limpopo Provincial Legislature,Deputy Speaker.
Ms Matshoge Bertha Amanda Joyce,Province,Limpopo,Provincial Legislature,Limpopo Provincial Legislature,Member of the Provincial Legislature
Ms Mhlari Nomvula Pamela,,,Party Member,ANC,Party Member
Ms Mhlari Nomvula Pamela,Province,Limpopo,Provincial Legislature,Limpopo Provincial Legislature,Chairperson: Health & Social Executive Committee
Ms Mhlari Nomvula Pamela,Province,Limpopo,Provincial Legislature,Limpopo Provincial Legislature,Member of the Provincial Legislature
Ms Mohlala Thabitha,,,Party Member,ANC,Party Member
Ms Mohlala Thabitha,Province,Limpopo,Provincial Legislature,Limpopo Provincial Legislature,Member of the Provincial Legislature
Ms Moraka Anna Thandi,,,Party Member,ANC,Party Member
Ms Moraka Anna Thandi,Province,Limpopo,Provincial Legislature,Limpopo Provincial Legislature,Member of the Provincial Legislature
Ms Ndalane Nanda Anna,,,Party Member,ANC,Party Member
Ms Ndalane Nanda Anna,Province,Limpopo,Provincial Legislature,Limpopo Provincial Legislature,"Chairperson: Sport, Arts and Culture Executive Committee"
Ms Ndalane Nanda Anna,Province,Limpopo,Provincial Legislature,Limpopo Provincial Legislature,Member of the Provincial Legislature
Ms O Mlamleli,Province,Free State,Provincial Legislature,Free State Provincial Legislature,Member of the Executive Committee: COGTAHS
Ms O Mlamleli,Province,Free State,Provincial Legislature,Free State Provincial Legislature,Member of the Executive Committee: Tourism
Ms O Mlamleli,Province,Free State,Provincial Legislature,Free State Provincial Legislature,Member of the Provincial Legislature
Ms Qabathe,Province,Free State,Provincial Legislature,Free State Provincial Legislature,Member of the Executive Committee: Agriculture
Ms Qabathe,Province,Free State,Provincial Legislature,Free State Provincial Legislature,Member of the Provincial Legislature
Ms Radzilani F.Florance,,,Party Member,ANC,Party Member
Ms Radzilani F.Florance,Province,Limpopo,Provincial Legislature,Limpopo Provincial Legislature,Member of the Provincial Legislature
Ms Raganya Mokgadi Magret,,,Party Member,COPE,Party Member
Ms Raganya Mokgadi Magret,Province,Limpopo,Provincial Legislature,Limpopo Provincial Legislature,Member of the Provincial Legislature
Ms Ramadwa Matodzi Mirriam,,,Party Member,ANC,Party Member
Ms Ramadwa Matodzi Mirriam,Province,Limpopo,Provincial Legislature,Limpopo Provincial Legislature,"Member of the Executive Committee: Sport, Arts & Culture"
Ms Ramadwa Matodzi Mirriam,Province,Limpopo,Provincial Legislature,Limpopo Provincial Legislature,Member of the Provincial Legislature
Ms Ravhuanzwo Tshilidzi Merylene,,,Party Member,COPE,Party Member
Ms Ravhuanzwo Tshilidzi Merylene,Province,Limpopo,Provincial Legislature,Limpopo Provincial Legislature,Member of the Provincial Legislature
Ms Semenya Machwene Rosinah,,,Party Member,ANC,Party Member
Ms Semenya Machwene Rosinah,Province,Limpopo,Provincial Legislature,Limpopo Provincial Legislature,Member of the Executive Committee: Agriculture
Ms Semenya Machwene Rosinah,Province,Limpopo,Provincial Legislature,Limpopo Provincial Legislature,Member of the Provincial Legislature
Ms. Matamela Sophy,,,Party Member,ANC,Party Member
Ms. Matamela Sophy,Province,Limpopo,Provincial Legislature,Limpopo Provincial Legislature,MPL
Ms. Matamela Sophy,Province,Limpopo,Provincial Legislature,Limpopo Provincial Legislature,Member of the Provincial Legislature
Mxolisi Dimaza,Province,Eastern Cape,Political Party,ANC,Party Member
Mxolisi Dimaza,Province,Eastern Cape,Provincial Legislature,Eastern Cape Provincial Legislature,Member
Mzoleli Mrara,Province,Eastern Cape,Political Party,ANC,Party Member
Mzoleli Mrara,Province,Eastern Cape,Provincial Legislature,Eastern Cape Provincial Legislature,Member
NANDI MASHORI,,,Political Party,COPE,Party Member
NANDI MASHORI,Province,North West,Provincial Legislature,North West Provincial Legislature,Member of the Provincial Legislature
NIKIWE NUM,,,Political Party,COPE,Party Member
NIKIWE NUM,Province,North West,Provincial Legislature,North West Provincial Legislature,Member of the Provincial Legislature
NONO MALOYI,,,Political Party,ANC,Party Member
NONO MALOYI,Province,North West,Provincial Legislature,North West Provincial Legislature,"Member of the Executive Committee: Human Settlement, Public Safety and Liason"
