ABAKAILE,Abakaile
MBOGHONI,Mitaboni
MBOLOLO,Mitheru
MBOONI,Mitunguu
MEGUN,Miwani
MEKENENE,Mjambere
MELELO,Mji wa Kale / Makadara
MELILI,Mkomani
MENENGAI,Mkongani
MENENGAI WEST,Mkunumbi
MERIGI,Mlango Kubwa
METKEI,Mnagei
MFANGANO ISLAND,Mnarani
MIAMBANI,Mochongoi
MIGOSI,Modogashe
MIGWANI,Mogogosiek
MIHANGO,Mogondo
MIHUU,Mogotio
MIKINDANI,Moi's Bridge
MIKINDUNI,Moiben
MIKINDURI,Moiben / Kuserwo
MILIMA,Mokerero
MIRANGINE,Molo
MIRITINI,Monyerero
MISIKHU,Mosiro
MITABONI,Mosop
MITHERU,Moticho
MITUNGUU,Motosiet
MIWANI,Mountain View
MJAMBERE,Mowlem
MJI WA KALE/MAKADARA,Moyale Township
MKOMANI,Mtepeni
MKOMANI,Mtito Andei
MKONGANI,Mtongwe
MKUNUMBI,Mtopanga
MLANGO KUBWA,Mua
MNAGEI,Muchatha
MNARANI,Mugogodo East
MOCHONGOI,Mugogodo West
MODOGASHE,Mugoiri
MOGOGOSIEK,Muguga
MOGONDO,Mugumo - Ini
MOGOTIO,Mugunda
MOI'S BRIDGE,Muguru
MOIBEN,Mugwe
MOIBEN/KUSERWO,Muhoroni Koru
MOLO,Muhudu
MONYERERO,Muhuru
MOROTHILE,Mui
MOSIRO,Mukaa
MOSIRO,Mukothima
MOSOP,Mukure
MOTICHO,Mukurwe - Ini Central
MOTOSIET,Mukurwe - Ini West
MOUNTAIN VIEW,Mukutani
MOWLEM,Mukuyuni
MOYALE TOWNSHIP,Mulango
MTEPENI,Mumberes / Maji Mazuri
MTITO ANDEI,Mumbuni North
MTONGWE,Mumias Central
MTOPANGA,Mumias North
MUA,Muminji
MUCHATHA,Mumoni
MUGOGODO EAST,Mungoma
MUGOGODO WEST,Municipality
MUGOIRI,Murarandia
MUGUGA,Murera
MUGUMO-INI,Murhanda
MUGUMU-INI,Murindat
MUGUNDA,Murinduko
MUGURU,Muruka
MUGWE,Murungaru
MUHORONI/KORU,Musanda
MUHUDU,Musikoma
MUHURU,Mutarakwa
MUI,Mutha
MUKAA,Muthambi
MUKOTHIMA,Muthara
MUKURE,Muthesya
MUKURWE-INI CENTRAL,Muthetheni
MUKURWE-INI WEST,Muthithi
MUKUTANI,Muthwani
MUKUYUNI,Mutira
MULANGO,Mutithi
MUMBERES/MAJI MAZURI,Mutitu / Kaliku
MUMBUNI NORTH,Mutituni
MUMIAS CENTRAL,Mutomo
MUMIAS NORTH,Mutonguni
MUMINJI,Mutu - ini
MUMONI,Muvau / Kikumini
MUNGOMA,Muvuti / Kiima - Kimwe
MUNICIPALITY,Mwakirunge
MURARANDIA,Mwanamwinga
MURERA,Mwanda / Mgange
MURHANDA,Mwanganthia
MURINDATI,Mwarakaya
MURINDUKO,Mwatate
MURUKA,Mwavumbo
MURUNGARU,Mwawesa
MUSANDA,Mwea
MUSIKOMA,Mweiga
MUTARAKWA,Mwereni
MUTHA,Mwibona
MUTHAMBI,Mwihoko
MUTHARA,Mwiki
MUTHESYA,Mwimbi
MUTHETHENI,Mwiyogo / Endarasha
MUTHITHI,Naathu
MUTHWANI,Nabiswa
MUTIRA,Nachola
MUTITHI,Nachu
MUTITO/KALIKU,Naikarra
MUTITUNI,Nairobi Central
MUTOMO,Nairobi South
MUTONGUNI,Nairobi West
MUTU-INI,Naitiri / Kabuyefwe
MUVAU/KIKUUMINI,Naivasha East
MUVUTI/KIIMA-KIMWE,Nakalale
MWAKIRUNGE,Nakuru East
MWANAMWINGA,Namamali
MWANDA/MGANGE,Nambale
MWANGANTHIA,Namboboto - Nambuku
MWARAKAYA,Namwela
MWATATE,Nanaam
MWAVUMBO,Nandi Hills
MWAWESA,Nangina
MWEA,Nanighi
MWEIGA,Nanyuki
MWERENI,Narok Town
MWIBONA,Naromoru / Kiamathaga
MWIHOKO,Ndalani
MWIKI,Ndalat
MWIKI,Ndalu
MWIMBI,Ndanai / Abosi
MWIYOGO/ENDARASHA,Ndaraweta
NAATHU,Ndarugo
NABISWA,Ndavaya
NACHOLA,Ndeiya
NACHU,Ndenderu
NAIKARRA,Ndithini
NAIROBI CENTRAL,Ndivisi
NAIROBI SOUTH,Ndoto
NAIROBI WEST,Ndumberi
NAITIRI/KABUYEFWE,Neboi
NAIVASHA EAST,Nessuit
NAKALALE,Ng'araria
NAKURU EAST,Ngando
NAMAMALI,Ngara
NAMBALE TOWNSHIP,Ngare Mara
NAMBOBOTO NAMBUKU,Ngariama
NAMWELA,Ngecha Tigoni
NANAAM,Ngei
NANDI HILLS,Ngenda
NANGINA,Ngenyilel
NANIGHI,Ngeria
NANYUKI,Ngewa
NAROK TOWN,Nginda
NAROMORU KIAMATHAGA,Ngobit
NDALANI,Ngolia
NDALAT,Ngoliba
NDALU/ TABANI,Ngomeni
NDANAI/ABOSI,Ngong
NDARAWETA,Nguni
NDARUGU,Nguu / Masumba
NDAVAYA,Nguumo
NDEIYA,Nguutani
NDENDERU,Njabini / Kiburu
NDITHINI,Njia
NDIVISI,Njiru
NDOTO,Njoro
NDUMBERI,Njukiine
NEBOI,Nkaimurunya
NESSUIT,Nkareta
NG'ARARIA,Nkomo
NGANDO,Nkondi
NGARA,Nkuene
NGARE MARA,North Alego
NGARIAMA,North East Bunyore
NGECHA TIGONI,North Gem
NGEI,North Horr
NGENDA,North Kadem
NGENYILEL,North Kamagambo
NGERIA,North Kanyamkago
NGEWA,North Karachuonyo
NGINDA,North Kinangop
NGINDA,North Maragoli
NGOBIT,North Nyakach
NGOLIA,North Sakwa
NGOLIBA,North Seme
NGOMENI,North Ugenya
NGONG,North Uyoma
NGUNI,North West Kisumu
NGUU/MASUMBA,Nthawa
NGUUMO,Ntima East
NGUUTANI,Ntima West
NJABINI\KIBURU,Ntimaru East
NJIA,Ntimaru West
NJIRU,Ntunene
NJORO,Nuu
NJUKIINI,Nyabasi East
NKAIMURUNYA,Nyabasi West
NKARETA,Nyacheki
NKOMO,Nyadhuna
NKONDI,Nyaki East
NKUENE,Nyaki West
NORTH ALEGO,Nyakio
NORTH EAST BUNYORE,Nyakoe
NORTH GEM,Nyalenda A
NORTH HORR,Nyalenda B
NORTH KADEM,Nyamaiya
NORTH KAMAGAMBO,Nyamasibi
NORTH KANYAMKAGO,Nyamosense / Komosoko
NORTH KARACHUONYO,Nyanduma
NORTH KINANGOP,Nyangati
NORTH MARAGOLI,Nyangores
NORTH NYAKACH,Nyansiongo
NORTH SAKWA,Nyatieko
NORTH SAKWA,Nyayo Highrise
NORTH SEME,Nyiro
NORTH UGENYA,Nyota
NORTH UYOMA,Nzambani
NORTH WEST KISUMU,Nzaui / Kilili / Kalamba
NTHAWA,Nzoia
NTIMA EAST,Obbu
NTIMA WEST,Ol - Moran
NTIMARU EAST,Ol'lessos
NTIMARU WEST,Oldo / Nyiro
NTUNENE,Olkaria
NUU,Olkeri
NYABASI EAST,Olokurto
NYABASI WEST,Ololmasani
NYACHEKI,Ololulung'a
NYADHUNA,Oloolua
NYAKI EAST,Oloosirkon / Sholinke
NYAKI WEST,Olorropil
NYAKIO,Olposimoru
NYAKOE,Ombeyi
NYALENDA 'A',Ongata Rongai
NYALENDA B,Pangani
NYAMAIYA,Parklands / Highridge
NYAMASIBI,Pipeline
NYAMOSENSE/KOMOSOKO,Pongwe / Kikoneni
NYANDUMA,Porro
NYANGATI,Port Reitz
NYANGORES,Puma
NYANSIONGO,Pumwani
NYATIEKO,Purko
NYAYO HIGHRISE,Rabai / Kisurutini
NYIRO,Racecourse
NYOTA,Ragana - Oruba
NZAMBANI,Railways
NZAUI/KILILI/KALAMBA,Ramisi
NZOIA,Ravine
OBBU,Rhamu
OL'LESSOS,Rhamu Dimtu
OL-MORAN,Rhoda
OLDO/NYIRO,Riabai
OLKARIA,Riana
OLKERI,Ribkwo
OLOKURTO,Rigoma
OLOLULUNG'A,Riruta
OLOOLUA,Riwo
OLOOSIRKON/SHOLINKE,Rombo
OLORROPIL,Ronge
OLOlMASANI,Rongena / Manaret
OLPUSIMORU,Roysambu
OMBEYI,Ruai
ONGATA RONGAI,Ruchu
PANGANI,Rugi
PARKLANDS/HIGHRIDGE,Ruguru
PIPELINE,Ruguru - Ngandori
PONGWE/KIKONENI,Ruiri / Rwarera
PORO,Ruma - Kaksingiri East
PORT REITZ,Rumuruti Township
PUMA,Rurii
PUMWANI,Ruring'u
PURKO,Ruruma
RABAI/KISURUTINI,Rusinga Island
RACECOURSE,Rware
RAGANA-ORUBA,Rwathia
RAILWAYS,Sabaki
RAMISI,Sabena
RAVINE,Saboti
RHAMU,Sacho
RHAMU-DIMTU,Sagala
RHODA,Sagamian
RIABAI,Sagante / Jaldesa
RIANA,Saimo / Kipsaraman
RIBKWO,Saimo / Soi
RIGOMA,Saka
RIRUTA,Sala
RIWO,Salama
ROMBO,Sambirir
RONG'E,Sameta / Mokwerero
RONGENA/MANARET,Sangailu
ROYSAMBU,Sangalo / Kebulonik
RUAI,Sango
RUCHU,Sankuri
RUGI,Sarang'ombe
RUGURU,Sarman
RUGURU/NGANDORI,Segera
RUIRI/RWARERA,Segero / Barsombe
RUMA-KAKSINGRI,Sekerr
RUMURUTI TOWNSHIP,Sengwer
RURII,Sensi
RURING'U,Sergoit
RURUMA,Sericho
RUSINGA ISLAND,Shaabab
RWANDA,Shamakhokho
RWARE,Shamata
RWATHIA,Shankoe
SABAKI,Shanzu
SABENA,Shauri Moyo Kaloleni
SABOTI,Shella
SACHO,Sheywe
SAGALLA,Shika Adabu
SAGAMIAN,Shimanzi / Ganjoni
SAGANTE/JALDESA,Shimbir Fatuma
SAIMO/KIPSARAMAN,Shimo la Tewa
SAIMO/SOI,Shinoyi - Shikomari - Esumeiya
SAKA  ,Shirere
SALA,Shiru
SALAMA,Shirugu - Mugai
SAMBIRIR,Siana
SAMETA/MOKWERERO,Siaya Township
SANGAILU,Siboti
SANGALO/KEBULONIK,Sidindi
SANGO,Sigomere
SANKURI,Sigona
SARANGOMBE,Sigor
SARMAN,Sigowet
SEGERA,Sikhendu
SEGERO/BARSOMBE,Silale
SEKERR,Silibwet Township
SENGWER,Simat / Kapseret
SENSI,Singorwet
SERGOIT,Sinoko
SERICHO,Sinyerere
SHAABAB,Siongiroi
SHAMAKHOKHO,Sirende
SHAMATA,Sirikwa
SHANKOE,Sitatunga
SHANZU,Sitikho
SHAURIMOYO KALOLENI,Siyoi
SHELLA,Sogoo
SHELLA,Soin
SHEYWE,Sokoke
SHIKA ADABU,Sokoni
SHIMANZI/GANJONI,Solai
SHIMBIR FATUMA,Soliat
SHIMO LA TEWA,Sololo
SHINOYI-SHIKOMARI-ESUMEYIA,Songhor / Soba
SHIRERE,Songot
SHIRU,Sook
SHIRUGU-MUGAI,Sosian
SIANA,South Bukusu
SIAYA TOWNSHIP,South C
SIBOTI,South East Alego
SIDINDI,South East Nyakach
SIGOMERE,South Gem
SIGONA,South Kabras
SIGOR,South Kamagambo
SIGOWET,South Kanyamkago
SIKHENDU,South Kasipul
SILALE,South Maragoli
SILIBWET TOWNSHIP,South Sakwa
SIMAT/KAPSERET,South Uyoma
SINGORWET,South West Kisumu
SINOKO,South West Nyakach
SINYERERE,Soy
SIONGIROI,Soy North
SIRENDE,Soy South
SIRIKWA,Soysambu / Mitua
SITATUNGA,Suam
SITIKHO,Subukia
SIYOI,Suguta Marmar
SOGOO,Suna Central
SOIN,Suswa
SOIN,Syokimau / Mulolongo
SOKOKE,Tabaka
SOKONI,Tagare
SOLAI,Takaba
SOLIAT,Takaba South
SOLOLO,Tala
SONGHOR/SOBA,Tambach
SONGOT,Tambua
SOOK,Tangulbei / Korossi
SOSIAN,Tapach
SOUTH BUKUSU,Tapsagoi
SOUTH C,Tarakwa
SOUTH EAST ALEGO,Tarbaj
SOUTH EAST NYAKACH,Tebere
SOUTH GEM,Tebesonik
SOUTH KABRAS,Tembelio
SOUTH KAMAGAMBO,Tendeno / Sorget
SOUTH KANYAMKAGO,Tenges
SOUTH KASIPUL,Terik
SOUTH MARAGOLI,Tezo
SOUTH SAKWA,Thangatha
SOUTH SAKWA,Thange
SOUTH UYOMA,Tharaka
SOUTH WEST KISUMU,Thegu River
SOUTH WEST NYAKACH,Theta
SOY,Thiba
SOY NORTH,Thingithu
SOY SOUTH,Tigithi
SOYSAMBU/ MITUA,Timau
SUAM,Timbwani
SUBUKIA,Tinderet
SUGUTA MARMAR,Tinet
SUNA CENTRAL,Ting’ang’a
SUSWA,Tirioko
SYOKIMAU/MULOLONGO,Tiwi
TABAKA,Tongaren
TAGARE,Tononoka
TAKABA,Township
TAKABA SOUTH,Tseikuru
TALA,Tsimba Golini
TAMBACH,Tudor
TAMBUA,Tulimani
TANGULBEI/KOROSSI,Tulwet / Chiyat
TANZANIA,Turbi
TAPACH,Turi
TAPSAGOI,Turkwel
TARAKWA,Tuwani
TARBAJ,Ugunja
TEBERE,Ukia
TEBESONIK,Ukunda
TEMBELIO,Ukwala
TENDENO/SORGET,Umande
TENGES,Umoja I
TERIK,Umoja II
TEZO,Upper Kaewa / Iveti
THANGATHA,Upper Savanna
THANGE,Uran
THARAKA,Usonga
THEGU RIVER,Utalii
THETA,Utawala
THIBA,Uthiru
THINGITHU,Uthiru / Ruthimitu
TIGITHI,Vanga
TIMAU,Visoi
TIMBWANI,Viwanda
TINDIRET,Viwandani
TINET,Voo / Kyamatu
TING'ANG'A,Waa
TIRIOKO,Wabera
TIWI,Waberi
TONGAREN,Wagberi
TONONOKA,Waia - Kako
TOWNSHIP,Waita
TOWNSHIP,Waitaluk
TOWNSHIP,Waithaka
TOWNSHIP,Waldai
TOWNSHIP,Wamagana
TOWNSHIP,Wamba East
TOWNSHIP,Wamba North
TOWNSHIP,Wamba West
TOWNSHIP,Wamumu
TSEIKURU,Wamunyu
TSIMBA GOLINI,Wang'chieng
TUDOR,Wangu
TULIMANI,Wanjohi
TULWET/CHUIYAT,Waranqara
TURBI,Wargadud
TURI,Waseges
TURKWEL,Wasimbete
TUWANI,Waso
UGANDA,Wasweta II
UGUNJA,Watamu
UKIA,Wayu
UKUNDA,Wei Wei
UKWALA,Wemilabi
UMANDE,Weru
UMOJA I,Werugha
UMOJA II,West Alego
UPPER KAEWA/IVETI,West Asembo
UPPER SAVANNAH,West Bukusu
URAN,West Bunyore
USONGA,West Gem
UTALII,West Kabras
UTAWALA,West Kamagak
UTHIRU,West Kanyamkago
UTHIRU/RUTHIMITU,West Karachuonyo
VANGA,West Kasipul
VISOI,West Kisumu
VIWANDANI,West Nalondo
VIWANDANI,West Nyakach
VOO/KYAMATU,West Sabatia
WAA,West Sakwa
WABERA,West Sang'alo
WABERI,West Seme
WAGBERI,West Ugenya
WAIA-KAKO,West Uyoma
WAITA,West Yimbo
WAITALUK,Wiga
WAITHAKA,Witeithie
WALDAI,Witu
WAMAGANA,Wodanga
WAMBA EAST,Woodley / Kenyatta Golf Course
WAMBA NORTH,Wote
WAMBA WEST,Wumingu / Kishushe
WAMUMU,Wundanyi / Mbale
WAMUNYU,Wusi / Kishamba
WANGCHIENG,Yala Township
WANGU,Yimbo East
WANJOHI,Zimmerman
WARANQARA,Ziwa
WARGADUD,Ziwa La Ng'ombe
WARGADUD,Ziwani / Kariokor
WASEGES,Zombe / Mwitika
WASIMBETE,
WASO,
WASWETA II,
WATAMU,
WAYU,
WEIWEI,
WEMILABI,
WERU,
WERUGHA,
WEST ALEGO,
WEST ASEMBO,
WEST BUKUSU,
WEST BUNYORE,
WEST GEM,
WEST GEM,
WEST KABRAS,
WEST KAMAGAK,
WEST KANYAMKAGO,
WEST KARACHUONYO,
WEST KASIPUL,
WEST KISUMU,
WEST NALONDO,
WEST NYAKACH,
WEST SABATIA,
WEST SAKWA,
WEST SAKWA,
WEST SANG'ALO,
WEST SEME,
WEST UGENYA,
WEST UYOMA,
WEST YIMBO,
WIGA,
WITEITHIE,
WITU,
WODANGA,
WOODLEY/KENYATTA GOLF COURSE,
WOTE,
WUMINGU/KISHUSHE,
WUNDANYI/MBALE,
WUSI/KISHAMBA,
YALA TOWNSHIP,
YIMBO EAST,
ZIMMERMAN,
ZIWA,
ZIWA LA NG'OMBE,
ZIWANI/KARIOKOR,
ZOMBE/MWITIKA,
