Party,First Name,Last Name,Organisation,Position Title,Start Date,End Date,Place name,Preferred Name,Cell phone
DEMOCRATIC ALLIANCE,LORRAINE JULIETTE,BOTHA,Western Cape Provincial Legislature,Member,2014-05-21,future,Western Cape,,
DEMOCRATIC ALLIANCE,ANTON WILHELM,BREDELL,Western Cape Provincial Legislature,Member,2014-05-21,future,Western Cape,,
AFRICAN CHRISTIAN DEMOCRATIC PARTY,FERLON CHARLES,CHRISTIANS,Western Cape Provincial Legislature,Member,2014-05-21,future,Western Cape,,
AFRICAN NATIONAL CONGRESS,SHARON WINONA,DAVIDS,Western Cape Provincial Legislature,Member,2014-05-21,future,Western Cape,,
AFRICAN NATIONAL CONGRESS,TRUDY MALEFE,DIJANA,Western Cape Provincial Legislature,Member,2014-05-21,future,Western Cape,,
AFRICAN NATIONAL CONGRESS,CAMERON MUIR,DUGMORE,Western Cape Provincial Legislature,Member,2014-05-21,future,Western Cape,,
AFRICAN NATIONAL CONGRESS,QUBUDILE RICHARD,DYANTYI,Western Cape Provincial Legislature,Member,2014-05-21,future,Western Cape,,
DEMOCRATIC ALLIANCE,SHARNA GAIL,FERNANDEZ,Western Cape Provincial Legislature,Member,2014-05-21,future,Western Cape,,
AFRICAN NATIONAL CONGRESS,MARIUS LLEWELLYN,FRANSMAN,Western Cape Provincial Legislature,Member,2014-05-21,future,Western Cape,,
DEMOCRATIC ALLIANCE,ALBERT THEO,FRITZ,Western Cape Provincial Legislature,Member,2014-05-21,future,Western Cape,,
AFRICAN NATIONAL CONGRESS,MAURENCIA NATALIE,GILLION,Western Cape Provincial Legislature,Member,2014-05-21,future,Western Cape,,
AFRICAN NATIONAL CONGRESS,DOROTHEA,GOPIE,Western Cape Provincial Legislature,Member,2014-05-21,future,Western Cape,,
DEMOCRATIC ALLIANCE,DONALD ARTHUR CARDROSS,GRANT,Western Cape Provincial Legislature,Member,2014-05-21,future,Western Cape,,
DEMOCRATIC ALLIANCE,NCEBA EPHRAIM,HINANA,Western Cape Provincial Legislature,Member,2014-05-21,future,Western Cape,,
DEMOCRATIC ALLIANCE,DENIS,JOSEPH,Western Cape Provincial Legislature,Member,2014-05-21,future,Western Cape,,
DEMOCRATIC ALLIANCE,BASIL DAVID,KIVEDO,Western Cape Provincial Legislature,Member,2014-05-21,future,Western Cape,,
AFRICAN NATIONAL CONGRESS,PATRONELLA ZINGISA,LEKKER,Western Cape Provincial Legislature,Member,2014-05-21,future,Western Cape,,
DEMOCRATIC ALLIANCE,RODNEY BENJAMIN,LENTIT,Western Cape Provincial Legislature,Member,2014-05-21,future,Western Cape,,
DEMOCRATIC ALLIANCE,RICARDO DENVER,MACKENZIE,Western Cape Provincial Legislature,Member,2014-05-21,future,Western Cape,,
DEMOCRATIC ALLIANCE,BONGINKOSI SUCCESS,MADIKIZELA,Western Cape Provincial Legislature,Member,2014-05-21,future,Western Cape,,
AFRICAN NATIONAL CONGRESS,KHAYALETHU ELVIS,MAGAXA,Western Cape Provincial Legislature,Member,2014-05-21,future,Western Cape,,
AFRICAN NATIONAL CONGRESS,PHOLISA,MAKELENI,Western Cape Provincial Legislature,Member,2014-05-21,future,Western Cape,,
DEMOCRATIC ALLIANCE,ANROUX JOHANNA DU TOIT,MARAIS,Western Cape Provincial Legislature,Member,2014-05-21,future,Western Cape,,
DEMOCRATIC ALLIANCE,OTTA HELENE,MAREE,Western Cape Provincial Legislature,Member,2014-05-21,future,Western Cape,,
DEMOCRATIC ALLIANCE,LETTA MATLHODI,MASEKO,Western Cape Provincial Legislature,Member,2014-05-21,future,Western Cape,,
DEMOCRATIC ALLIANCE,LENNIT HENDRY,MAX,Western Cape Provincial Legislature,Member,2014-05-21,future,Western Cape,,
DEMOCRATIC ALLIANCE,NOMAFRENCH,MBOMBO,Western Cape Provincial Legislature,Member,2014-05-21,future,Western Cape,,
DEMOCRATIC ALLIANCE,IVAN HENRY,MEYER,Western Cape Provincial Legislature,Member,2014-05-21,future,Western Cape,,
DEMOCRATIC ALLIANCE,MASIZOLE,MNQASELA,Western Cape Provincial Legislature,Member,2014-05-21,future,Western Cape,,
AFRICAN NATIONAL CONGRESS,ROLAND THEO,OLIVIER,Western Cape Provincial Legislature,Member,2014-05-21,future,Western Cape,,
ECONOMIC FREEDOM FIGHTERS,MOGAMAD NAZIER,PAULSEN,Western Cape Provincial Legislature,Member,2014-05-21,future,Western Cape,,
DEMOCRATIC ALLIANCE,DANIEL,PLATO,Western Cape Provincial Legislature,Member,2014-05-21,future,Western Cape,,
DEMOCRATIC ALLIANCE,PETRUS JOHANNES CHRISTIAAN,PRETORIUS,Western Cape Provincial Legislature,Member,2014-05-21,future,Western Cape,,
DEMOCRATIC ALLIANCE,DEBORAH ANNE,SCHÄFER,Western Cape Provincial Legislature,Member,2014-05-21,future,Western Cape,,
DEMOCRATIC ALLIANCE,BEVERLEY ANN,SCHAFER,Western Cape Provincial Legislature,Member,2014-05-21,future,Western Cape,,
AFRICAN NATIONAL CONGRESS,SIYAZI GRATEFULL,TYATYAM,Western Cape Provincial Legislature,Member,2014-05-21,future,Western Cape,,
AFRICAN NATIONAL CONGRESS,PIERRÉ,UYS,Western Cape Provincial Legislature,Member,2014-05-21,future,Western Cape,,
DEMOCRATIC ALLIANCE,MIREILLE MARY,WENGER,Western Cape Provincial Legislature,Member,2014-05-21,future,Western Cape,,
DEMOCRATIC ALLIANCE,MARK GEOFFRY EDINGTON,WILEY,Western Cape Provincial Legislature,Member,2014-05-21,future,Western Cape,,
DEMOCRATIC ALLIANCE,ALAN RICHARD,WINDE,Western Cape Provincial Legislature,Member,2014-05-21,future,Western Cape,,
AFRICAN NATIONAL CONGRESS,CHUPU STANLEY,MATHABATHA,Limpopo Provincial Legislature,Member,2014-05-21,future,Limpopo,,
AFRICAN NATIONAL CONGRESS,FALAZA PHILEMON,MDAKA,Limpopo Provincial Legislature,Member,2014-05-21,future,Limpopo,,
AFRICAN NATIONAL CONGRESS,MATJIE LEHLOGONOLO ALFRED,MASOGA,Limpopo Provincial Legislature,Member,2014-05-21,future,Limpopo,,
AFRICAN NATIONAL CONGRESS,MKHACANI JOSEPH,MASWANGANYI,Limpopo Provincial Legislature,Member,2014-05-21,future,Limpopo,,
AFRICAN NATIONAL CONGRESS,SEAPARO CHARLES,SEKOATI,Limpopo Provincial Legislature,Member,2014-05-21,future,Limpopo,,
AFRICAN NATIONAL CONGRESS,KGOLANE ALFRED,PHALA,Limpopo Provincial Legislature,Member,2014-05-21,future,Limpopo,,
AFRICAN NATIONAL CONGRESS,MAARIA ISHMAEL,KGATJEPE,Limpopo Provincial Legislature,Member,2014-05-21,future,Limpopo,,
AFRICAN NATIONAL CONGRESS,HAPPY JOYCE,MASHAMBA,Limpopo Provincial Legislature,Member,2014-05-21,future,Limpopo,,
AFRICAN NATIONAL CONGRESS,NAMANE DICKSON,MASEMOLA,Limpopo Provincial Legislature,Member,2014-05-21,future,Limpopo,,
AFRICAN NATIONAL CONGRESS,THIBEDI GIDEON,CHEPAPE,Limpopo Provincial Legislature,Member,2014-05-21,future,Limpopo,,
AFRICAN NATIONAL CONGRESS,MASELE SOLLY,CHEGO,Limpopo Provincial Legislature,Member,2014-05-21,future,Limpopo,,
AFRICAN NATIONAL CONGRESS,AZWINDINI JEREMIAH DINGAA,NDOU,Limpopo Provincial Legislature,Member,2014-05-21,future,Limpopo,,
AFRICAN NATIONAL CONGRESS,ANNA TANDI,MORAKA,Limpopo Provincial Legislature,Member,2014-05-21,future,Limpopo,,
AFRICAN NATIONAL CONGRESS,MAMOYAGALE GERTRUDE,KGALAMADI,Limpopo Provincial Legislature,Member,2014-05-21,future,Limpopo,,
AFRICAN NATIONAL CONGRESS,MAKOMA GRACE,MAKHURUPETJE,Limpopo Provincial Legislature,Member,2014-05-21,future,Limpopo,,
AFRICAN NATIONAL CONGRESS,MAPULA ANNAH,MOKABA-PHUKWANA,Limpopo Provincial Legislature,Member,2014-05-21,future,Limpopo,,
AFRICAN NATIONAL CONGRESS,SHAHIDABIBI,SHAIKH,Limpopo Provincial Legislature,Member,2014-05-21,future,Limpopo,,
AFRICAN NATIONAL CONGRESS,BERTHA AMANDA JOYCE,MATSHOGE,Limpopo Provincial Legislature,Member,2014-05-21,future,Limpopo,,
AFRICAN NATIONAL CONGRESS,MMANEO ONICCA,MOLOI,Limpopo Provincial Legislature,Member,2014-05-21,future,Limpopo,,
AFRICAN NATIONAL CONGRESS,SYLVIA SNOWY,KENNEDY-MONYEMORATHO,Limpopo Provincial Legislature,Member,2014-05-21,future,Limpopo,,
AFRICAN NATIONAL CONGRESS,THEMBISILE ELLEN,NWEDAMUTSWU,Limpopo Provincial Legislature,Member,2014-05-21,future,Limpopo,,
AFRICAN NATIONAL CONGRESS,MATODZI MIRRIAM,RAMADWA,Limpopo Provincial Legislature,Member,2014-05-21,future,Limpopo,,
AFRICAN NATIONAL CONGRESS,KWENA ELIAS,NONG,Limpopo Provincial Legislature,Member,2014-05-21,future,Limpopo,,
AFRICAN NATIONAL CONGRESS,RENEILOE ROSEMARRY,MOLAPO,Limpopo Provincial Legislature,Member,2014-05-21,future,Limpopo,,
AFRICAN NATIONAL CONGRESS,THOTOGELO DANIEL,SEBABI,Limpopo Provincial Legislature,Member,2014-05-21,future,Limpopo,,
AFRICAN NATIONAL CONGRESS,SUSANI VIOLET,MATHYE,Limpopo Provincial Legislature,Member,2014-05-21,future,Limpopo,,
AFRICAN NATIONAL CONGRESS,MMABOGAHLA ISAIAH,MASEKOAMENG,Limpopo Provincial Legislature,Member,2014-05-21,future,Limpopo,,
AFRICAN NATIONAL CONGRESS,LUCY MANTHEPA,SELOANE,Limpopo Provincial Legislature,Member,2014-05-21,future,Limpopo,,
AFRICAN NATIONAL CONGRESS,WISANI GOODMAN,MITILENI,Limpopo Provincial Legislature,Member,2014-05-21,future,Limpopo,,
AFRICAN NATIONAL CONGRESS,TSHAMELENI EMMA,NDLOVU,Limpopo Provincial Legislature,Member,2014-05-21,future,Limpopo,,
AFRICAN NATIONAL CONGRESS,MOLAPI SOVIET,LEKGANYANE,Limpopo Provincial Legislature,Member,2014-05-21,future,Limpopo,,
AFRICAN NATIONAL CONGRESS,MAITE REBECCA,MARUTHA,Limpopo Provincial Legislature,Member,2014-05-21,future,Limpopo,,
AFRICAN NATIONAL CONGRESS,FREDERICK THINAMAANO,DAU,Limpopo Provincial Legislature,Member,2014-05-21,future,Limpopo,,
AFRICAN NATIONAL CONGRESS,NDZIMENI SYLVIA,MUDAU,Limpopo Provincial Legislature,Member,2014-05-21,future,Limpopo,,
AFRICAN NATIONAL CONGRESS,SENTLE LAVIUS EMMANUEL,FENYANE,Limpopo Provincial Legislature,Member,2014-05-21,future,Limpopo,,
AFRICAN NATIONAL CONGRESS,MAKWENA LYDIA,NGWENYA,Limpopo Provincial Legislature,Member,2014-05-21,future,Limpopo,,
AFRICAN NATIONAL CONGRESS,ROBERT WILLIAM NOEL,TOOLEY,Limpopo Provincial Legislature,Member,2014-05-21,future,Limpopo,,
AFRICAN NATIONAL CONGRESS,MOKGADI JOHANNA,APHIRI,Limpopo Provincial Legislature,Member,2014-05-21,future,Limpopo,,
AFRICAN NATIONAL CONGRESS,NANDA ANNAH,NDALANE,Limpopo Provincial Legislature,Member,2014-05-21,future,Limpopo,,
CONGRESS  OF THE PEOPLE,PATRICK,SIKHUTSHI,Limpopo Provincial Legislature,Member,2014-05-21,future,Limpopo,,
DEMOCRATIC ALLIANCE,PHILLIP LANGA,BODLANI,Limpopo Provincial Legislature,Member,2014-05-21,future,Limpopo,,
DEMOCRATIC ALLIANCE,JACOBUS FREDERIK,SMALLE,Limpopo Provincial Legislature,Member,2014-05-21,future,Limpopo,,
DEMOCRATIC ALLIANCE,KATLEGO SUZAN,PHALA,Limpopo Provincial Legislature,Member,2014-05-21,future,Limpopo,,
ECONOMIC FREEDOM FIGHTERS,MICHAEL RAHLAGANE,MATHEBE,Limpopo Provincial Legislature,Member,2014-05-21,future,Limpopo,,
ECONOMIC FREEDOM FIGHTERS,MODIKANE JOSEPH,BUTHANE,Limpopo Provincial Legislature,Member,2014-05-21,future,Limpopo,,
ECONOMIC FREEDOM FIGHTERS,MAPULA JOHANNA,LEDWABA,Limpopo Provincial Legislature,Member,2014-05-21,future,Limpopo,,
ECONOMIC FREEDOM FIGHTERS,GEORGE,RAPHELA,Limpopo Provincial Legislature,Member,2014-05-21,future,Limpopo,,
ECONOMIC FREEDOM FIGHTERS,MEISIE,KENNEDY,Limpopo Provincial Legislature,Member,2014-05-21,future,Limpopo,,
ECONOMIC FREEDOM FIGHTERS,MATOME ERIC,MACHAKA,Limpopo Provincial Legislature,Member,2014-05-21,future,Limpopo,,
AFRICAN NATIONAL CONGRESS,ANDREK,LESUFI,Gauteng Provincial Legislature,Member,2014-05-21,future,Gauteng,Andrek Lesufi,
AFRICAN NATIONAL CONGRESS,ANNAH REFILWE,MOGALE,Gauteng Provincial Legislature,Member,2014-05-21,future,Gauteng,Refilwe Mogale,
AFRICAN NATIONAL CONGRESS,ANTHONY HOPE MANKWANA,PAPO,Gauteng Provincial Legislature,Member,2014-05-21,future,Gauteng,Hope Papo,
AFRICAN NATIONAL CONGRESS,BARBARA DALLAS,CREECY,Gauteng Provincial Legislature,Member,2014-05-21,future,Gauteng,Barbara Creecy,
AFRICAN NATIONAL CONGRESS,BRIAN,HLONGWA,Gauteng Provincial Legislature,Member,2014-05-21,future,Gauteng,Brian Hlongwa,
AFRICAN NATIONAL CONGRESS,COFFEE GODFREY,TSOTETSI,Gauteng Provincial Legislature,Member,2014-05-21,future,Gauteng,Godfrey Tsotetsi,
AFRICAN NATIONAL CONGRESS,DIKGANG VHURU,MOILOA,Gauteng Provincial Legislature,Member,2014-05-21,future,Gauteng,Uhuru Moiloa,
AFRICAN NATIONAL CONGRESS,DOREEN ZAMANTUNGWA SBUSISIWE,SENOKOANYANE,Gauteng Provincial Legislature,Member,2014-05-21,future,Gauteng,Doreen Senokoanyane,
AFRICAN NATIONAL CONGRESS,EMELDA SIZAKELE,MALOBANE,Gauteng Provincial Legislature,Member,2014-05-21,future,Gauteng,Sizakele Malobane,
AFRICAN NATIONAL CONGRESS,ERROL VINCENT,MAGERMAN,Gauteng Provincial Legislature,Member,2014-05-21,future,Gauteng,Errol Magerman,
AFRICAN NATIONAL CONGRESS,FANYANA MICHAEL,MADLALA,Gauteng Provincial Legislature,Member,2014-05-21,future,Gauteng,Michael Madlala,
AFRICAN NATIONAL CONGRESS,Busisiwe Veronica,Mncube,Gauteng Provincial Legislature,Member,2014-05-21,future,Gauteng,Mncube Busisiwe,
AFRICAN NATIONAL CONGRESS,GLORIA THANDI,MAHLANGU,Gauteng Provincial Legislature,Member,2014-05-21,future,Gauteng,Gloria Mahlangu,
AFRICAN NATIONAL CONGRESS,HANA DAISY,MASHEGO,Gauteng Provincial Legislature,Member,2014-05-21,future,Gauteng,Daisy Hana Mashego,
AFRICAN NATIONAL CONGRESS,ISMAIL,VADI,Gauteng Provincial Legislature,Member,2014-05-21,future,Gauteng,Ismail Vadi,
AFRICAN NATIONAL CONGRESS,JACOB,KHAWE,Gauteng Provincial Legislature,Member,2014-05-21,future,Gauteng,Jacob Khawe,
AFRICAN NATIONAL CONGRESS,JACQUELINE MOTLAGOMANG,MOFOKENG,Gauteng Provincial Legislature,Member,2014-05-21,future,Gauteng,Jacqueline Mofokeng,
AFRICAN NATIONAL CONGRESS,JOE,MPISI,Gauteng Provincial Legislature,Member,2014-05-21,future,Gauteng,Joe Mpisi,
AFRICAN NATIONAL CONGRESS,LANDIWE JANE,LASINDWA,Gauteng Provincial Legislature,Member,2014-05-21,future,Gauteng,Lindiwe Lasindwa,
AFRICAN NATIONAL CONGRESS,LEBOGANG ISAAC,MAILE,Gauteng Provincial Legislature,Member,2014-05-21,future,Gauteng,Lebogang Maile,
AFRICAN NATIONAL CONGRESS,LENTHENG HELEN,MEKGWE,Gauteng Provincial Legislature,Member,2014-05-21,future,Gauteng,Helen Mekgwe,
AFRICAN NATIONAL CONGRESS,MALEMOLLA DAVID,MAKHURA,Gauteng Provincial Legislature,Member,2014-05-21,future,Gauteng,David Makhura,
AFRICAN NATIONAL CONGRESS,MBONGENI,RADEBE,Gauteng Provincial Legislature,Member,2014-05-21,future,Gauteng,Mbongeni Radebe,
AFRICAN NATIONAL CONGRESS,MOHATLA ALFRED,TSEKI,Gauteng Provincial Legislature,Member,2014-05-21,future,Gauteng,Alfred Tseki,
AFRICAN NATIONAL CONGRESS,MOLEBATSI FRANCES,BOPAPE,Gauteng Provincial Legislature,Member,2014-05-21,future,Gauteng,Molebatsi Bopape,
AFRICAN NATIONAL CONGRESS,MOLOKO MAGGIE,TLOU,Gauteng Provincial Legislature,Member,2014-05-21,future,Gauteng,Maggie Tlou,
AFRICAN NATIONAL CONGRESS,MPAPA JEREMIA,KANYANE,Gauteng Provincial Legislature,Member,2014-05-21,future,Gauteng,Jeremia Mpapa,
AFRICAN NATIONAL CONGRESS,MXOLISI ERIC,XAYIYA,Gauteng Provincial Legislature,Member,2014-05-21,future,Gauteng,Eric Xayiya,
AFRICAN NATIONAL CONGRESS,NOMALIZO JOYCE,PEKANE,Gauteng Provincial Legislature,Member,2014-05-21,future,Gauteng,Joyce Pekane,
AFRICAN NATIONAL CONGRESS,NOMANTU,RALEHOKO,Gauteng Provincial Legislature,Member,2014-05-21,future,Gauteng,Nomantu Ralehoko,
AFRICAN NATIONAL CONGRESS,NOMPI LETIAH,NHLAPO,Gauteng Provincial Legislature,Member,2014-05-21,future,Gauteng,Nompi Nhlapo,
AFRICAN NATIONAL CONGRESS,Thuliswa Winlove,Nkabinde,Gauteng Provincial Legislature,Member,2014-05-21,future,Gauteng,Thuliswa Nkabinde,
AFRICAN NATIONAL CONGRESS,NONHLANHLA FAITH,MAZIBUKO,Gauteng Provincial Legislature,Member,2014-05-21,future,Gauteng,Faith Mazibuko,
AFRICAN NATIONAL CONGRESS,NYAMEKA NANDI,MAYATHULA-KHOZA,Gauteng Provincial Legislature,Member,2014-05-21,future,Gauteng,Nandi Mayathula-Khoza,
AFRICAN NATIONAL CONGRESS,PHALAMA JACOB,MAMABOLO,Gauteng Provincial Legislature,Member,2014-05-21,future,Gauteng,Jacob Mamabolo,
AFRICAN NATIONAL CONGRESS,QEDANI DOROTHY,MAHLANGU,Gauteng Provincial Legislature,Member,2014-05-21,future,Gauteng,Dorothy Mahlangu,
AFRICAN NATIONAL CONGRESS,SAKHIWE VINCENT,KHUMALO,Gauteng Provincial Legislature,Member,2014-05-21,future,Gauteng,Vincent Khumalo,
AFRICAN NATIONAL CONGRESS,SOCHAYILE,KHANYILE,Gauteng Provincial Legislature,Member,2014-05-21,future,Gauteng,Sochayile Khanyile,
AFRICAN NATIONAL CONGRESS,THOKOZILE ELIZABETH,MAGAGULA,Gauteng Provincial Legislature,Member,2014-05-21,future,Gauteng,Thokozile Magagula,
AFRICAN NATIONAL CONGRESS,WALLY VALENTINE,MBATHA,Gauteng Provincial Legislature,Member,2014-05-21,future,Gauteng,Valentine Mbatha,
DEMOCRATIC ALLIANCE,ADRIANA MARIA,RANDALL,Gauteng Provincial Legislature,Member,2014-05-21,future,Gauteng,Adriana Randall,
DEMOCRATIC ALLIANCE,AGATHA WILHELMINA,CILLIERS,Gauteng Provincial Legislature,Member,2014-05-21,future,Gauteng,Agatha Cilliers,
DEMOCRATIC ALLIANCE,ALAN JOSEPH,FUCHS,Gauteng Provincial Legislature,Member,2014-05-21,future,Gauteng,Alan Fuchs,
DEMOCRATIC ALLIANCE,ASHOR NICK,SARUPEN,Gauteng Provincial Legislature,Member,2014-05-21,future,Gauteng,Ashor Sarupen,
DEMOCRATIC ALLIANCE,FREDERIK PETRUS,NEL,Gauteng Provincial Legislature,Member,2014-05-21,future,Gauteng,Frederik Nel,
DEMOCRATIC ALLIANCE,GLENDA JANE,STEYN,Gauteng Provincial Legislature,Member,2014-05-21,future,Gauteng,Glenda Steyn,
DEMOCRATIC ALLIANCE,GRAHAM ANTHONY KEITH,GERSBACH,Gauteng Provincial Legislature,Member,2014-05-21,future,Gauteng,Graham Gersbach,
DEMOCRATIC ALLIANCE,JACK BRIAN,BLOOM,Gauteng Provincial Legislature,Member,2014-05-21,future,Gauteng,Jack Bloom,
DEMOCRATIC ALLIANCE,JANET AUDREY,SEMPLE,Gauteng Provincial Legislature,Member,2014-05-21,future,Gauteng,Janet Semple,
DEMOCRATIC ALLIANCE,JANHO,ENGELBRECHT,Gauteng Provincial Legislature,Member,2014-05-21,future,Gauteng,Janho Engelbrecht,
DEMOCRATIC ALLIANCE,JOHN CLIFFORD,MOODEY,Gauteng Provincial Legislature,Member,2014-05-21,future,Gauteng,John Moodey,
DEMOCRATIC ALLIANCE,JUSTUS,DE GOEDE,Gauteng Provincial Legislature,Member,2014-05-21,future,Gauteng,Justus De Goede,
DEMOCRATIC ALLIANCE,KATHERINE LOUISE,LORIMER,Gauteng Provincial Legislature,Member,2014-05-21,future,Gauteng,Katherine Lorimer,
DEMOCRATIC ALLIANCE,LEBOGANG LUDWIG,MORE,Gauteng Provincial Legislature,Member,2014-05-21,future,Gauteng,Lebogang More,
DEMOCRATIC ALLIANCE,MERVYN HYMAN,CIROTA,Gauteng Provincial Legislature,Member,2014-05-21,future,Gauteng,Mervyn Cirota,
DEMOCRATIC ALLIANCE,MICHÉLE ODETTE,CLARKE,Gauteng Provincial Legislature,Member,2014-05-21,future,Gauteng,Michéle Clarke,
DEMOCRATIC ALLIANCE,MICHAEL SEAN,MORIARTY,Gauteng Provincial Legislature,Member,2014-05-21,future,Gauteng,Michael Moriarty,
DEMOCRATIC ALLIANCE,MOKHAUGELO SOLOMON,CHABALALA,Gauteng Provincial Legislature,Member,2014-05-21,future,Gauteng,Mokhaugelo Chabalala,
DEMOCRATIC ALLIANCE,NEIL GORDON,CAMPBELL,Gauteng Provincial Legislature,Member,2014-05-21,future,Gauteng,Neil Campbell,
DEMOCRATIC ALLIANCE,NKHUMENI,RAMULIFHO,Gauteng Provincial Legislature,Member,2014-05-21,future,Gauteng,Nkhumeni Ramulifho,
DEMOCRATIC ALLIANCE,PAUL SAMUEL ROBERT,WILLEMBURG,Gauteng Provincial Legislature,Member,2014-05-21,future,Gauteng,Paul Willemburg,
DEMOCRATIC ALLIANCE,REFILOE,NTSEKHE,Gauteng Provincial Legislature,Member,2014-05-21,future,Gauteng,Refiloe Ntsekhe,
DEMOCRATIC ALLIANCE,SOLLY TSHEPISO,MSIMANGA,Gauteng Provincial Legislature,Member,2014-05-21,future,Gauteng,Solly Msimanga,
ECONOMIC FREEDOM FIGHTERS,CATHERINE LINDIWE,DZIMBA,Gauteng Provincial Legislature,Member,2014-05-21,future,Gauteng,Catherine Dzimba,
ECONOMIC FREEDOM FIGHTERS,Hoffinel,Ntobeng,Gauteng Provincial Legislature,Member,2014-05-21,future,Gauteng,Hoffiniel Ntobeng ,
ECONOMIC FREEDOM FIGHTERS,GLADWIN,KHAIYANE,Gauteng Provincial Legislature,Member,2014-05-21,future,Gauteng,Gladwin Khaiyane,
ECONOMIC FREEDOM FIGHTERS,KOMASEROTO BENJAMIN,DISOLOANE,Gauteng Provincial Legislature,Member,2014-05-21,future,Gauteng,Komaseroto Disoloane,
ECONOMIC FREEDOM FIGHTERS,MANDISA SIBONGILE,MASHEGO,Gauteng Provincial Legislature,Member,2014-05-21,future,Gauteng,Mandisa Mashego ,
ECONOMIC FREEDOM FIGHTERS,MGCINI,TSHWAKU,Gauteng Provincial Legislature,Member,2014-05-21,future,Gauteng,Mgcini Tshwaku,
ECONOMIC FREEDOM FIGHTERS,Christina Winnie,Mabala,Gauteng Provincial Legislature,Member,2014-05-21,future,Gauteng,Christinah Mabala,
ECONOMIC FREEDOM FIGHTERS,PATRICK,SINDANE,Gauteng Provincial Legislature,Member,2014-05-21,future,Gauteng,Patrick Sindane,
INKATHA FREEDOM PARTY,BONGINKOSI WESLEY,DHLAMINI,Gauteng Provincial Legislature,Member,2014-05-21,future,Gauteng,Bonginkosi Dhlamini,
VRYHEIDSFRONT PLUS,Philippus Adriaan,Van Staden,Gauteng Provincial Legislature,Member,2014-05-21,future,Gauteng,Philippus Van Staden,
AFRICAN NATIONAL CONGRESS,NOMSA,NCUBE,KwaZulu-Natal Provincial Legislature,Member,2014-05-21,future,KwaZulu-Natal,,
AFRICAN NATIONAL CONGRESS,EDWARD SENZO,MCHUNU,KwaZulu-Natal Provincial Legislature,Member,2014-05-21,future,KwaZulu-Natal,,
AFRICAN NATIONAL CONGRESS,CATHARINA MAGDALENA,CRONJE,KwaZulu-Natal Provincial Legislature,Member,2014-05-21,future,KwaZulu-Natal,,
AFRICAN NATIONAL CONGRESS,THEMBINKOSI WILLIES,MCHUNU,KwaZulu-Natal Provincial Legislature,Member,2014-05-21,future,KwaZulu-Natal,,
AFRICAN NATIONAL CONGRESS,MICHAEL,MABUYAKHULU,KwaZulu-Natal Provincial Legislature,Member,2014-05-21,future,KwaZulu-Natal,,
AFRICAN NATIONAL CONGRESS,NELISWA PEGGY,NKONYENI,KwaZulu-Natal Provincial Legislature,Member,2014-05-21,future,KwaZulu-Natal,,
AFRICAN NATIONAL CONGRESS,SIBONGISENI MAXWELL,DHLOMO,KwaZulu-Natal Provincial Legislature,Member,2014-05-21,future,KwaZulu-Natal,,
AFRICAN NATIONAL CONGRESS,MTHOLEPHI EMMANUEL,MTHIMKHULU,KwaZulu-Natal Provincial Legislature,Member,2014-05-21,future,KwaZulu-Natal,,
AFRICAN NATIONAL CONGRESS,BONGINKOSI MESHACK,RADEBE,KwaZulu-Natal Provincial Legislature,Member,2014-05-21,future,KwaZulu-Natal,,
AFRICAN NATIONAL CONGRESS,NTOMBIKAYISE NOMAWISILE,SAPHETHA                                     ,KwaZulu-Natal Provincial Legislature,Member,2014-05-21,future,KwaZulu-Natal,,
AFRICAN NATIONAL CONGRESS,SIPHO CAIPHAS,NKOSI,KwaZulu-Natal Provincial Legislature,Member,2014-05-21,future,KwaZulu-Natal,,
AFRICAN NATIONAL CONGRESS,WEZIWE GCOTYELWA,THUSI,KwaZulu-Natal Provincial Legislature,Member,2014-05-21,future,KwaZulu-Natal,,
AFRICAN NATIONAL CONGRESS,THOMAS MXOLISI,KAUNDA,KwaZulu-Natal Provincial Legislature,Member,2014-05-21,future,KwaZulu-Natal,,
AFRICAN NATIONAL CONGRESS,MUNTUKAYISE BHEKUYISE,NTULI,KwaZulu-Natal Provincial Legislature,Member,2014-05-21,future,KwaZulu-Natal,,
AFRICAN NATIONAL CONGRESS,RAVIGASEN RANGANATHAN,PILLAY,KwaZulu-Natal Provincial Legislature,Member,2014-05-21,future,KwaZulu-Natal,,
AFRICAN NATIONAL CONGRESS,LYDIA,JOHNSON,KwaZulu-Natal Provincial Legislature,Member,2014-05-21,future,KwaZulu-Natal,,
AFRICAN NATIONAL CONGRESS,VUSUMUZI CYRIL,XABA,KwaZulu-Natal Provincial Legislature,Member,2014-05-21,future,KwaZulu-Natal,,
AFRICAN NATIONAL CONGRESS,LANGALAKHE NICHOLAS,MKHIZE,KwaZulu-Natal Provincial Legislature,Member,2014-05-21,future,KwaZulu-Natal,,
AFRICAN NATIONAL CONGRESS,MTHANDENI ERIC,DLUNGWANA,KwaZulu-Natal Provincial Legislature,Member,2014-05-21,future,KwaZulu-Natal,,
AFRICAN NATIONAL CONGRESS,EMMANUEL VUSUMUZI,DUBE,KwaZulu-Natal Provincial Legislature,Member,2014-05-21,future,KwaZulu-Natal,,
AFRICAN NATIONAL CONGRESS,MAGESVARI,GOVENDER,KwaZulu-Natal Provincial Legislature,Member,2014-05-21,future,KwaZulu-Natal,,
